Episode,Outcome,Avg_Performance,SmartMovePlayer1
922,2,0.80,0.90
923,1,0.71,0.90
924,2,0.73,0.90
925,1,0.65,0.90
926,2,0.67,0.90
927,1,0.60,0.90
928,2,0.62,0.90
929,2,0.63,0.90
930,2,0.64,0.90
931,1,0.59,0.90
932,2,0.60,0.90
933,1,0.55,0.90
934,2,0.56,0.90
935,2,0.58,0.90
936,1,0.53,0.90
937,2,0.54,0.90
938,1,0.50,0.90
939,2,0.51,0.90
940,2,0.53,0.90
941,2,0.54,0.90
942,2,0.55,0.90
943,2,0.56,0.90
944,2,0.57,0.90
945,2,0.58,0.90
946,2,0.59,0.90
947,2,0.60,0.90
948,2,0.61,0.90
949,2,0.62,0.90
950,2,0.62,0.90
951,2,0.63,0.90
Increment at Episode 952: SmartMovePlayer1 increased to 1.00
952,2,0.64,1.00
953,2,1.00,1.00
954,2,1.00,1.00
955,None,0.67,1.00
956,None,0.50,1.00
957,None,0.40,1.00
958,2,0.50,1.00
959,2,0.57,1.00
960,None,0.50,1.00
961,2,0.56,1.00
962,1,0.40,1.00
963,2,0.45,1.00
964,None,0.42,1.00
965,None,0.38,1.00
966,None,0.36,1.00
967,2,0.40,1.00
968,None,0.38,1.00
969,None,0.35,1.00
970,None,0.33,1.00
971,1,0.26,1.00
972,None,0.25,1.00
973,2,0.29,1.00
974,2,0.32,1.00
975,1,0.26,1.00
976,2,0.29,1.00
977,None,0.28,1.00
978,None,0.27,1.00
979,None,0.26,1.00
980,1,0.21,1.00
981,1,0.17,1.00
982,None,0.17,1.00
983,None,0.16,1.00
984,None,0.16,1.00
985,1,0.12,1.00
986,2,0.15,1.00
987,1,0.11,1.00
988,2,0.14,1.00
989,None,0.14,1.00
990,None,0.13,1.00
991,2,0.15,1.00
992,1,0.12,1.00
993,2,0.15,1.00
994,None,0.14,1.00
995,2,0.16,1.00
996,None,0.16,1.00
997,2,0.18,1.00
998,None,0.17,1.00
999,2,0.19,1.00
