Episode,Outcome,Avg_Performance,SmartMovePlayer1
884,2,0.61,1.00
885,2,0.62,1.00
886,1,0.56,1.00
887,2,0.58,1.00
888,2,0.59,1.00
889,2,0.61,1.00
890,2,0.62,1.00
891,2,0.63,1.00
892,2,0.65,1.00
893,2,0.66,1.00
894,2,0.67,1.00
895,2,0.68,1.00
896,2,0.69,1.00
897,2,0.69,1.00
898,2,0.70,1.00
899,None,0.68,1.00
900,None,0.67,1.00
901,2,0.68,1.00
902,2,0.68,1.00
903,None,0.67,1.00
904,2,0.67,1.00
905,2,0.68,1.00
906,2,0.69,1.00
907,None,0.67,1.00
908,2,0.68,1.00
909,1,0.65,1.00
910,None,0.63,1.00
911,None,0.62,1.00
912,None,0.60,1.00
913,2,0.60,1.00
914,None,0.58,1.00
915,2,0.58,1.00
916,2,0.60,1.00
917,2,0.64,1.00
918,2,0.64,1.00
919,None,0.66,1.00
920,None,0.64,1.00
921,None,0.64,1.00
922,None,0.64,1.00
923,1,0.60,1.00
924,2,0.60,1.00
925,1,0.60,1.00
926,2,0.60,1.00
927,1,0.56,1.00
928,2,0.56,1.00
929,2,0.56,1.00
930,1,0.52,1.00
931,2,0.52,1.00
932,2,0.52,1.00
933,2,0.52,1.00
934,1,0.48,1.00
935,2,0.48,1.00
936,None,0.50,1.00
937,2,0.50,1.00
938,2,0.50,1.00
939,2,0.50,1.00
940,None,0.48,1.00
941,2,0.48,1.00
942,2,0.48,1.00
943,1,0.44,1.00
944,2,0.44,1.00
945,None,0.42,1.00
946,2,0.42,1.00
947,None,0.40,1.00
948,None,0.38,1.00
949,None,0.38,1.00
950,2,0.40,1.00
951,2,0.40,1.00
952,None,0.38,1.00
953,None,0.38,1.00
954,None,0.36,1.00
955,1,0.32,1.00
956,2,0.32,1.00
957,1,0.30,1.00
958,1,0.26,1.00
959,2,0.30,1.00
960,2,0.32,1.00
961,2,0.34,1.00
962,2,0.36,1.00
963,None,0.34,1.00
964,2,0.36,1.00
965,2,0.36,1.00
966,2,0.36,1.00
967,1,0.32,1.00
968,2,0.32,1.00
969,2,0.34,1.00
970,1,0.32,1.00
971,2,0.34,1.00
972,2,0.36,1.00
973,2,0.40,1.00
974,2,0.40,1.00
975,2,0.44,1.00
976,2,0.44,1.00
977,2,0.48,1.00
978,2,0.48,1.00
979,2,0.48,1.00
980,None,0.50,1.00
981,2,0.50,1.00
982,2,0.50,1.00
983,2,0.50,1.00
984,None,0.52,1.00
985,2,0.52,1.00
986,2,0.54,1.00
987,None,0.52,1.00
988,2,0.52,1.00
989,2,0.52,1.00
990,2,0.54,1.00
991,None,0.52,1.00
992,2,0.52,1.00
993,None,0.54,1.00
994,None,0.52,1.00
995,None,0.52,1.00
996,None,0.50,1.00
997,None,0.50,1.00
998,None,0.50,1.00
999,2,0.52,1.00
